epoch,time_s,avg_train_loss,train_acc,train_f1,train_precision,train_recall,avg_val_loss,val_acc,val_f1,val_precision,val_recall,val_mae,val_rmse,val_ccc
110,1.03,0.3863,0.8866,0.8746,0.8770,0.8775,4.5750,0.3564,0.1072,0.0950,0.1284,0.8482,1.0224,0.0864
111,1.06,0.3874,0.8889,0.8844,0.8988,0.8734,4.1969,0.3465,0.1437,0.1586,0.1394,0.8252,0.9913,0.0889
112,1.03,0.4831,0.8704,0.8603,0.8815,0.8438,4.4128,0.3069,0.0928,0.0936,0.0983,0.8611,1.0297,0.0398
113,1.04,0.5117,0.8542,0.8376,0.8394,0.8375,4.5081,0.2871,0.1118,0.1111,0.1143,0.8731,1.0400,0.0075
114,1.03,0.4849,0.8634,0.8414,0.8372,0.8533,4.4290,0.3168,0.1166,0.1310,0.1143,0.8927,1.0635,0.0109
115,1.05,0.4442,0.8727,0.8679,0.8757,0.8609,4.9703,0.3267,0.1121,0.1119,0.1248,0.8595,1.0408,0.0808
116,1.03,0.4541,0.8889,0.8668,0.8807,0.8592,4.4119,0.3267,0.1189,0.1286,0.1170,0.8187,0.9920,0.1093
117,1.05,0.4143,0.8750,0.8658,0.8743,0.8625,4.8244,0.3267,0.1073,0.1119,0.1081,0.8616,1.0496,0.0051
118,1.05,0.3973,0.8819,0.8700,0.8727,0.8698,4.4316,0.3069,0.0854,0.0789,0.0938,0.8563,0.9843,0.0507
119,1.05,0.3829,0.9120,0.8865,0.8986,0.8806,4.7372,0.3168,0.1034,0.1092,0.1054,0.8788,1.0780,0.0604
120,1.73,0.3768,0.8981,0.9008,0.9116,0.8924,4.7901,0.3267,0.1137,0.1262,0.1126,0.8675,1.0335,0.0527
121,1.07,0.4075,0.9028,0.8987,0.8909,0.9100,4.7724,0.3564,0.0956,0.0873,0.1073,0.8527,1.0241,0.0139
122,1.07,0.4126,0.8889,0.8910,0.8887,0.8947,4.7264,0.3069,0.0991,0.0906,0.1150,0.8238,1.0101,0.1080
123,1.06,0.4124,0.8843,0.8721,0.8827,0.8672,4.5374,0.3168,0.1112,0.1132,0.1099,0.8789,1.0581,0.0984
124,1.07,0.4625,0.8819,0.8697,0.8520,0.8901,4.7940,0.3564,0.1012,0.1032,0.1073,0.9002,1.1149,0.1233
125,1.06,0.4421,0.8704,0.8731,0.9024,0.8483,4.8795,0.2772,0.1194,0.1456,0.1241,0.8456,1.0029,0.0575
126,1.06,0.4293,0.8796,0.8669,0.8767,0.8604,4.5502,0.2970,0.0911,0.0837,0.1014,0.8583,1.0017,0.0272
127,1.06,0.3776,0.9051,0.9006,0.8895,0.9142,4.4157,0.3564,0.1020,0.0983,0.1118,0.8221,0.9920,0.1038
128,1.05,0.4264,0.8796,0.8715,0.8713,0.8722,4.6697,0.3267,0.0942,0.0839,0.1095,0.8149,1.0392,0.0312
